Total Original Medicare Part A Enrollees,Total Persons With Utilization,Total Discharges,"Discharges Per 1,000 Original Medicare Part A Enrollees","Discharges Per 1,000 Persons With Utilization",Total Days of Care,"Total Days of Care Per 1,000 Original Medicare Part A Enrollees",Total Days of Care Per Person With Utilization,Total Days of Care Per Discharge,Covered Days of Care,"Covered Days of Care Per 1,000 Original Medicare Part A Enrollees",Covered Days of Care Per Person With Utilization,Covered Days of Care Per Discharge,Total Program Payments,Program Payments Per Original Medicare Part A Enrollee,Program Payments Per Person With Utilization,Program Payments Per Discharge,Program Payments Per Covered Day,Persons With Coinsurance¹,Total Coinsurance Days,Coinsurance Days Per Person With Coinsurance¹,Total Coinsurance Payments,Coinsurance Payments Per Person With Coinsurance¹,Total Deductible Payments,Total Lifetime Reserve Days,Persons with Lifetime Reserve Days²,Discharged Dead,year,entitlement_type
38351611.5833391,6459625.0,10791977.0,281.3956586035176,1670.681657216944,63038307.0,1643.693821393034,9.75881835245854,5.841219546705854,58885507.0,1535.411539930732,9.115932736033438,5.456415168416315,136996048230.5598,3572.106687951396,21208.04972897959,12694.2494624071,2326.481594708182,94142.0,1612438.0,17.12772195194493,1057438882.24,11232.38174502348,9656904210.810007,774647.0,28506.0,330416.0,2018.0,All Beneficiaries
38258362.66667383,6264062.0,10474904.0,273.7938393041712,1672.222273662042,60970844.0,1593.660568571864,9.733435588600496,5.820658976922366,56897653.0,1487.195191694978,9.08318803357949,5.431806630399667,138525221246.5093,3620.782793383265,22114.28003849727,13224.48599495607,2434.638582482643,91945.0,1581077.0,17.19589972266029,1055554352.45,11480.28008537713,9513970791.10999,759409.0,28135.0,311529.0,2019.0,All Beneficiaries
37464936.500011,5390626.0,8776484.0,234.2586113818029,1628.101077685597,54273844.0,1448.657039629149,10.06818948300253,6.184007627655904,50700199.0,1353.270650811996,9.405252562503872,5.776823497883663,130157470740.4495,3474.114275901982,24145.14951333101,14830.25215341924,2567.198419486469,83294.0,1418351.0,17.0282493336855,976795506.2600001,11727.08125747353,8251221263.470011,681687.0,25211.0,375042.0,2020.0,All Beneficiaries
36051507.33335121,5148864.0,8349295.0,231.5935065571052,1621.580022311718,53089632.0,1472.605056679193,10.31094082112093,6.358576622337575,49473995.0,1372.314187657603,9.608720486693764,5.925529640526536,131317482538.0299,3642.496312950228,25504.16607197818,15727.97254594907,2654.272866746053,79221.0,1363643.0,17.21315055351485,975789694.86,12317.31100162836,8296339183.739999,637304.0,23538.0,373254.0,2021.0,All Beneficiaries
34960747.91669284,4930876.0,8040320.0,229.9813499173156,1630.606813069321,51011980.0,1459.121530281768,10.34541935347796,6.344521113587519,47471538.0,1357.852472524868,9.627404542316619,5.904185156809679,127737300953.8614,3653.734790177934,25905.5999286661,15887.09167717968,2690.818674420478,79094.0,1378077.0,17.42328115912711,1051976145.85,13300.32803815713,8336369117.189999,667325.0,24111.0,316914.0,2022.0,All Beneficiaries
34059183.833364,4823647.0,7959838.0,233.7060699676141,1650.170089146241,48488471.0,1423.653345224944,10.05224283617769,6.091640432883182,45078796.0,1323.543048493173,9.34537622674296,5.663280584353601,126947063923.5705,3727.249147973256,26317.65216724409,15948.4481874594,2816.114785398671,72553.0,1239870.0,17.08916240541397,963225032.16,13276.1571838518,8401196507.050003,586728.0,21629.0,264306.0,2023.0,All Beneficiaries
,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.0,All Beneficiaries
32432292.08333834,5356582.0,8636082.0,266.2803473096702,1612.237430510725,47879924.0,1476.304045269674,8.938521616956484,5.544171998366852,45821352.0,1412.831133928401,8.554214609241491,5.305803256615674,109856829437.4998,3387.266899151335,20508.75529162064,12720.67928923091,2397.503012078296,59082.0,981265.0,16.60852713178295,624429594.1600001,10568.86351443756,7930113031.400002,442753.0,16501.0,289418.0,2018.0,Aged Beneficiaries
32727644.9166733,5243431.0,8467202.0,258.717118862602,1614.82090638744,46756553.0,1428.656205450933,8.917167595034625,5.522078367800839,44708552.0,1366.079108772747,8.526583452704918,5.28020377924136,112149704198.2602,3426.757546526816,21388.61066318223,13245.19058341353,2508.462009645498,58520.0,974861.0,16.65859535201641,631945314.0,10798.79210526316,7890836846.960002,440428.0,16507.0,273287.0,2019.0,Aged Beneficiaries
32441736.00000964,4549931.0,7151320.0,220.4357991199322,1571.742516534866,42190300.0,1300.494523473943,9.272734026076439,5.89965209220116,40356047.0,1243.954608347346,8.869595385072872,5.643160563364526,106261760950.96,3275.464696184212,23354.58734450259,14859.04154071696,2633.106283946988,53873.0,890475.0,16.52915189426986,594215002.8000001,11029.92227646502,6901919036.140008,400750.0,14979.0,331497.0,2020.0,Aged Beneficiaries
